id,alloyCode,alloyName,alloyType,metalId,gradeId,rawMaterialId,compositionPercent,quantity
ac-1,ALY-SS304-BATCH,SS304 Batch Alloy,Stainless Steel,metal-ss,grade-304,,70.0000,
ac-2,ALY-SS304-BATCH,SS304 Batch Alloy,Stainless Steel,,,rm-ni,20.0000,
ac-3,ALY-SS304-BATCH,SS304 Batch Alloy,Stainless Steel,,,rm-cr,10.0000,
ac-4,ALY-SS316-BATCH,SS316 Marine Grade Alloy,Stainless Steel,metal-ss,grade-316,,65.0000,
ac-5,ALY-SS316-BATCH,SS316 Marine Grade Alloy,Stainless Steel,,,rm-ni,20.0000,
ac-6,ALY-SS316-BATCH,SS316 Marine Grade Alloy,Stainless Steel,,,rm-cr,10.0000,
ac-7,ALY-SS316-BATCH,SS316 Marine Grade Alloy,Stainless Steel,,,rm-mo,5.0000,
ac-8,ALY-CS-STD,Carbon Steel Standard Blend,Carbon Steel,metal-cs,grade-carbon-low,,80.0000,
ac-9,ALY-CS-STD,Carbon Steel Standard Blend,Carbon Steel,,,rm-fe,15.0000,
ac-10,ALY-CS-STD,Carbon Steel Standard Blend,Carbon Steel,,,rm-scr,5.0000,
ac-11,ALY-AS-HIGH,High-Strength Alloy Steel,Alloy Steel,metal-as,grade-high-alloy,,70.0000,
ac-12,ALY-AS-HIGH,High-Strength Alloy Steel,Alloy Steel,,,rm-fe,20.0000,
ac-13,ALY-AS-HIGH,High-Strength Alloy Steel,Alloy Steel,,,rm-mn,7.0000,
ac-14,ALY-AS-HIGH,High-Strength Alloy Steel,Alloy Steel,,,rm-fsi,3.0000,
